orig_node	entity_uri
Rothia mucilaginosa	NCBITaxon:43675
Barnesiella	NCBITaxon:397864
Christensenellaceae	NCBITaxon:990719
Brucellaceae	NCBITaxon:118882
Xanthomonadaceae	NCBITaxon:32033
Thalassospira	NCBITaxon:168934
Firmicutes	NCBITaxon:1239
Salmonella	NCBITaxon:590
Eggerthella	NCBITaxon:84111
Bergeyella	NCBITaxon:59735
Butyrivibrio	NCBITaxon:830
Pseudobutyrivibrio	NCBITaxon:46205
Actinobacillus	NCBITaxon:713
Clostridium cluster XIVa	NCBITaxon:not_found
Porphyromonas catoniae	NCBITaxon:41976
Actinobacillus pleuropneumoniae	NCBITaxon:715
Gemella morbillorum	NCBITaxon:29391
Granulicatella elegans	NCBITaxon:137732
Haemophilus quentini	NCBITaxon:123834
Haemophilus segnis	NCBITaxon:739
Streptococcus salivarius	NCBITaxon:1304
Veillonella ratti	NCBITaxon:103892
Tropheryma whipplei	NCBITaxon:2039
Neisseria elongata	NCBITaxon:495
Granulicatella adiacens	NCBITaxon:46124
Oribacterium	NCBITaxon:265975
Prevotella histicola	NCBITaxon:470565
Neisseria flavescens	NCBITaxon:484
Streptococcus cristatus	NCBITaxon:45634
Aggregatibacter aphrophilus	NCBITaxon:732
Prevotella nanceiensis	NCBITaxon:425941
Actinomyces massiliensis	NCBITaxon:461393
Gemella haemolysans	NCBITaxon:1379
Streptococcus australis	NCBITaxon:113107
Streptococcus vestibularis	NCBITaxon:1343
Gemella sanguinis	NCBITaxon:84135
Fusobacterium necrophorum	NCBITaxon:859
Variovorax	NCBITaxon:34072
Propionibacterium acidifaciens	NCBITaxon:556499
Prevotella multisaccharivorax	NCBITaxon:310514
Olsenella profusa	NCBITaxon:138595
Delftia acidovorans	NCBITaxon:80866
Flavisolibacter	NCBITaxon:398041
Geobacillus	NCBITaxon:129337
Cupriavidus	NCBITaxon:106589
Gardnerella	NCBITaxon:2701
Megasphaera	NCBITaxon:906
Leptotrichia amnionii	NCBITaxon:187101
Gardnerella vaginalis	NCBITaxon:2702
Atopobium vaginae	NCBITaxon:82135
Aerococcus christensenii	NCBITaxon:87541
Dialister micraerophilus	NCBITaxon:309120
Prevotella timonensis	NCBITaxon:386414
Sneathia	NCBITaxon:168808
Actinomycetaceae	NCBITaxon:2049
Allisonella	NCBITaxon:209879
Propionibacteriaceae	NCBITaxon:31957
Peptoniphilus	NCBITaxon:162289
Rhodobaca	NCBITaxon:119541
Mobiluncus curtisii	NCBITaxon:2051
Mobiluncus mulieris	NCBITaxon:2052
Prevotella bivia	NCBITaxon:28125
Prevotella disiens	NCBITaxon:28130
Sneathia sanguinegens	NCBITaxon:40543
Alloiococcus	NCBITaxon:1651
Aerococcus	NCBITaxon:1375
Anaerococcus tetradius	NCBITaxon:33036
Eubacterium limosum	NCBITaxon:1736
Bacteroides xylanisolvens	NCBITaxon:371601
Veillonella atypica	NCBITaxon:39777
Novosphingobium	NCBITaxon:165696
Haemophilus parahaemolyticus	NCBITaxon:735
Propionibacterium acnes	NCBITaxon:1747
Micrococcus luteus	NCBITaxon:1270
Terrahaemophilus	NCBITaxon:217201
Eubacterium saburreum	NCBITaxon:467210
Centipeda periodontii	NCBITaxon:82203
Lactobacillus sakei	NCBITaxon:1599
Afipia	NCBITaxon:1033
Curvibacter	NCBITaxon:281915
Undibacterium	NCBITaxon:401469
Leptolyngbya	NCBITaxon:47251
Cryptobacterium	NCBITaxon:84162
Olsenella	NCBITaxon:133925
Nocardioides	NCBITaxon:1839
Arthrobacter	NCBITaxon:1663
Modestobacter	NCBITaxon:88138
Humicoccus	NCBITaxon:53460
Thermoactinomyces	NCBITaxon:2032
Centipeda	NCBITaxon:82202
Anaerosporobacter	NCBITaxon:653683
Balneimonas	NCBITaxon:186650
Kingella	NCBITaxon:32257
Desulfobulbus	NCBITaxon:893
Dysgonomonas	NCBITaxon:156973
Clostridium group XI	NCBITaxon:1485
Streptophyta	NCBITaxon:35493
Enhydrobacter	NCBITaxon:212791
"Lactobacillales	"	NCBITaxon:186826
Globicatella	NCBITaxon:13075
Dorea longicatena	NCBITaxon:88431
Prevotella pallens	NCBITaxon:60133
Simonsiella muelleri	NCBITaxon:72
Alloscardovia omnicolens	NCBITaxon:419015
Prevotella scopos	NCBITaxon:589437
prevotella shahii	NCBITaxon:228603
Treponema putidum	NCBITaxon:221027
