subject	predicate	object	relation	provided_by
CHEBI:18420	biolink:binds_to	A0A2S4DY27		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U8I8		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NWX2		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1UAV7		Uniprot
CHEBI:18420	biolink:binds_to	A0A525C502		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MUQ0		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MUU7		Uniprot
CHEBI:18420	biolink:binds_to	A0A3C0RU55		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1UBX8		Uniprot
CHEBI:18420	biolink:binds_to	Q9S4A9		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BQN1		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BMV5		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1UBL0		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NAQ4		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1UBK0		Uniprot
CHEBI:18420	biolink:binds_to	A0A3C0RU84		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1UBJ2		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NBD6		Uniprot
CHEBI:18420	biolink:binds_to	A0A3C0RU75		Uniprot
CHEBI:18420	biolink:binds_to	Q8VVB4		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BPZ5		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U7U7		Uniprot
CHEBI:18420	biolink:binds_to	A0A525CMW5		Uniprot
CHEBI:18420	biolink:binds_to	A0A0M4HXK6		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NGQ7		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U612		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NJX1		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NJM3		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NGC1		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U5Z0		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NJ68		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U4W1		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NHW9		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U5M0		Uniprot
CHEBI:18420	biolink:binds_to	A0A525CH11		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U732		Uniprot
CHEBI:18420	biolink:binds_to	A0A0M4HZ02		Uniprot
CHEBI:18420	biolink:binds_to	A0A3C0RVE7		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MYU5		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U6J4		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MWF5		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NPN0		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NPD0		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NEH3		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BKS4		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U776		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NFM4		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U770		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U2I5		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MZF1		Uniprot
CHEBI:18420	biolink:binds_to	A0A525CD02		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NNA4		Uniprot
