id	xref
UPA:UCR00716	KEGG:R00716
UPA:UCR00716	METACYC:1.5.1.8-RXN
UPA:UCR00716	RHEA:19376
UPA:UCR00731	KEGG:R00731
UPA:UCR00731	RHEA:34286
UPA:UCR00732	KEGG:R00732
UPA:UCR00732	METACYC:CYCLOHEXADIENYL-DEHYDROGENASE-RXN
UPA:UCR00732	RHEA:12259
UPA:UCR00733	KEGG:R00733
UPA:UCR00733	METACYC:RXN-5682
UPA:UCR00733	RHEA:15420
UPA:UCR00734	KEGG:R00734
UPA:UCR00734	METACYC:TYROSINE-AMINOTRANSFERASE-RXN
UPA:UCR00734	RHEA:15096
UPA:UCR00742	KEGG:R00742
UPA:UCR00742	METACYC:ACETYL-COA-CARBOXYLTRANSFER-RXN
UPA:UCR00742	RHEA:11311
UPA:UCR00750	KEGG:R00750
UPA:UCR00750	METACYC:MHPELY-RXN
UPA:UCR00750	RHEA:22627
UPA:UCR00751	KEGG:R00751
UPA:UCR00751	METACYC:THREONINE-ALDOLASE-RXN
UPA:UCR00751	RHEA:19628
UPA:UCR00754	KEGG:R00754
UPA:UCR00754	METACYC:ALCOHOL-DEHYDROG-RXN
UPA:UCR00754	RHEA:25293
UPA:UCR00756	KEGG:R00756
UPA:UCR00756	METACYC:6PFRUCTPHOS-RXN
UPA:UCR00756	RHEA:16112
UPA:UCR00765	KEGG:R00765
UPA:UCR00765	METACYC:GLUCOSAMINE-6-P-DEAMIN-RXN
UPA:UCR00765	RHEA:12175
UPA:UCR00766	KEGG:R00766
UPA:UCR00766	METACYC:SUCROSE-PHOSPHATE-SYNTHASE-RXN
UPA:UCR00766	RHEA:22175
UPA:UCR00768	KEGG:R00768
UPA:UCR00768	METACYC:L-GLN-FRUCT-6-P-AMINOTRANS-RXN
UPA:UCR00768	RHEA:13240
UPA:UCR00771	KEGG:R00771
UPA:UCR00771	METACYC:PGLUCISOM-RXN
UPA:UCR00771	METACYC:RXN-6182
UPA:UCR00771	RHEA:11819
UPA:UCR00772	KEGG:R00772
UPA:UCR00772	METACYC:MANNPISOM-RXN
UPA:UCR00772	RHEA:12359
UPA:UCR00774	KEGG:R00774
UPA:UCR00774	METACYC:UREA-CARBOXYLASE-RXN
UPA:UCR00774	RHEA:20899
UPA:UCR00783	KEGG:R00783
UPA:UCR00783	METACYC:NITRITE-REDUCTASE-CYTOCHROME-RXN
UPA:UCR00783	RHEA:15236
UPA:UCR00798	KEGG:R00798
UPA:UCR00798	METACYC:NITRATREDUCT-RXN
UPA:UCR00798	RHEA:21071
UPA:UCR00805	KEGG:R00805
UPA:UCR00805	METACYC:SUCROSE-PHOSPHATASE-RXN
UPA:UCR00805	RHEA:19292
UPA:UCR00812	KEGG:R00812
UPA:UCR00812	METACYC:1.3.1.19-RXN
UPA:UCR00812	RHEA:15460
UPA:UCR00813	KEGG:R00813
UPA:UCR00813	METACYC:1.3.1.25-RXN
UPA:UCR00813	RHEA:11563
UPA:UCR00817	KEGG:R00817
UPA:UCR00817	METACYC:CATECHOL-12-DIOXYGENASE-RXN
UPA:UCR00817	RHEA:23855
UPA:UCR00823	KEGG:R00823
UPA:UCR00823	RHEA:11079
UPA:UCR00829	KEGG:R00829
UPA:UCR00829	METACYC:RXN-3641
UPA:UCR00829	RHEA:19484
UPA:UCR00830	KEGG:R00830
UPA:UCR00830	METACYC:5-AMINOLEVULINIC-ACID-SYNTHASE-RXN
UPA:UCR00830	RHEA:12924
UPA:UCR00832	KEGG:R00832
UPA:UCR00832	METACYC:ARGININE-N-SUCCINYLTRANSFERASE-RXN
UPA:UCR00832	RHEA:15188
UPA:UCR00833	KEGG:R00833
UPA:UCR00833	METACYC:METHYLMALONYL-COA-MUT-RXN
UPA:UCR00833	RHEA:22891
UPA:UCR00835	KEGG:R00835
UPA:UCR00835	METACYC:RXN-14819
UPA:UCR00835	RHEA:15844
UPA:UCR00847	KEGG:R00847
UPA:UCR00847	METACYC:GLYCEROL-KIN-RXN
UPA:UCR00847	RHEA:21647
UPA:UCR00849	KEGG:R00849
UPA:UCR00849	RHEA:18980
UPA:UCR00851	KEGG:R00851
UPA:UCR00851	METACYC:RXN-1381
UPA:UCR00851	RHEA:15328
UPA:UCR00858	KEGG:R00858
UPA:UCR00858	METACYC:SULFITE-REDUCT-RXN
UPA:UCR00858	RHEA:13804
UPA:UCR00859	KEGG:R00859
UPA:UCR00859	METACYC:SULFITE-REDUCTASE-FERREDOXIN-RXN
UPA:UCR00859	RHEA:23135
UPA:UCR00874	KEGG:R00874
UPA:UCR00874	METACYC:1.1.99.28-RXN
UPA:UCR00874	RHEA:20640
UPA:UCR00883	KEGG:R00883
UPA:UCR00883	METACYC:MANNPGUANYLTRANGDP-RXN
UPA:UCR00883	RHEA:12908
UPA:UCR00885	KEGG:R00885
UPA:UCR00885	METACYC:2.7.7.13-RXN
UPA:UCR00885	RHEA:15232
UPA:UCR00888	KEGG:R00888
UPA:UCR00888	METACYC:GDPMANDEHYDRA-RXN
UPA:UCR00888	RHEA:23823
UPA:UCR00893	KEGG:R00893
UPA:UCR00893	METACYC:CYSTEINE-DIOXYGENASE-RXN
UPA:UCR00893	RHEA:20444
UPA:UCR00894	KEGG:R00894
UPA:UCR00894	METACYC:GLUTCYSLIG-RXN
UPA:UCR00894	RHEA:13288
UPA:UCR00897	KEGG:R00897
UPA:UCR00897	METACYC:ACSERLY-RXN
UPA:UCR00897	RHEA:14832
UPA:UCR00901	KEGG:R00901
UPA:UCR00901	METACYC:CYSTEINE-LYASE-RXN
UPA:UCR00901	RHEA:20919
UPA:UCR00921	KEGG:R00921
UPA:UCR00921	METACYC:PTAALT-RXN
UPA:UCR00921	RHEA:28049
UPA:UCR00939	KEGG:R00939
UPA:UCR00939	METACYC:DIHYDROFOLATEREDUCT-RXN
UPA:UCR00939	RHEA:15012
UPA:UCR00944	KEGG:R00944
UPA:UCR00944	METACYC:FORMYLTHFDEFORMYL-RXN
UPA:UCR00944	RHEA:19836
UPA:UCR00945	KEGG:R00945
UPA:UCR00945	METACYC:GLYOHMETRANS-RXN
UPA:UCR00945	RHEA:15484
UPA:UCR00946	KEGG:R00946
UPA:UCR00946	METACYC:HOMOCYSMETB12-RXN
UPA:UCR00946	RHEA:11175
UPA:UCR00956	KEGG:R00956
UPA:UCR00956	METACYC:2.7.7.33-RXN
UPA:UCR00956	RHEA:18216
UPA:UCR00964	KEGG:R00964
UPA:UCR00964	METACYC:URIDINEKIN-RXN
UPA:UCR00964	RHEA:16828
UPA:UCR00965	KEGG:R00965
UPA:UCR00965	METACYC:OROTPDECARB-RXN
UPA:UCR00965	RHEA:11599
UPA:UCR00966	KEGG:R00966
UPA:UCR00966	METACYC:URACIL-PRIBOSYLTRANS-RXN
UPA:UCR00966	RHEA:13020
UPA:UCR00974	KEGG:R00974
UPA:UCR00974	METACYC:CYTDEAM-RXN
UPA:UCR00974	RHEA:20608
UPA:UCR00976	KEGG:R00976
UPA:UCR00976	METACYC:URACIL-DEHYDROGENASE-RXN
UPA:UCR00976	RHEA:22755
UPA:UCR00985	KEGG:R00985
UPA:UCR00987	KEGG:R00987
UPA:UCR00987	METACYC:KYNURENINASE-RXN
UPA:UCR00987	RHEA:16816
UPA:UCR00994	KEGG:R00994
UPA:UCR00994	RHEA:32718
UPA:UCR00996	KEGG:R00996
UPA:UCR00996	METACYC:THREDEHYD-RXN
UPA:UCR00996	RHEA:22111
UPA:UCR01001	KEGG:R01001
UPA:UCR01001	METACYC:RXN-15130
UPA:UCR01001	RHEA:14008
UPA:UCR01011	KEGG:R01011
UPA:UCR01011	METACYC:GLYCERONE-KINASE-RXN
UPA:UCR01011	RHEA:15776
UPA:UCR01015	KEGG:R01015
UPA:UCR01015	METACYC:TRIOSEPISOMERIZATION-RXN
UPA:UCR01015	RHEA:18588
UPA:UCR01021	KEGG:R01021
UPA:UCR01021	METACYC:CHOLINE-KINASE-RXN
UPA:UCR01021	RHEA:12840
UPA:UCR01022	KEGG:R01022
UPA:UCR01022	METACYC:CHOLINE-OXIDASE-RXN
UPA:UCR01022	RHEA:13508
UPA:UCR01025	KEGG:R01025
UPA:UCR01025	METACYC:CHD-RXN
UPA:UCR01025	RHEA:17436
UPA:UCR01028	KEGG:R01028
UPA:UCR01028	METACYC:CHOLINE-SULFATASE-RXN
UPA:UCR01028	RHEA:20823
UPA:UCR01034	KEGG:R01034
UPA:UCR01034	METACYC:GLYCDEH-RXN
UPA:UCR01034	RHEA:13772
UPA:UCR01047	KEGG:R01047
UPA:UCR01047	METACYC:GLYCEROL-DEHYDRATASE-RXN
UPA:UCR01047	RHEA:19768
UPA:UCR01049	KEGG:R01049
UPA:UCR01049	METACYC:PRPPSYN-RXN
UPA:UCR01049	RHEA:15612
UPA:UCR01051	KEGG:R01051
UPA:UCR01051	METACYC:RIBOKIN-RXN
UPA:UCR01051	RHEA:13700
UPA:UCR01056	KEGG:R01056
UPA:UCR01056	METACYC:RIB5PISOM-RXN
UPA:UCR01056	RHEA:14660
UPA:UCR01057	KEGG:R01057
UPA:UCR01057	METACYC:PPENTOMUT-RXN
UPA:UCR01057	RHEA:18796
UPA:UCR01061	KEGG:R01061
UPA:UCR01061	METACYC:GAPOXNPHOSPHN-RXN
UPA:UCR01061	RHEA:10303
UPA:UCR01064	KEGG:R01064
UPA:UCR01064	METACYC:DEHYDDEOXPHOSGALACT-ALDOL-RXN
UPA:UCR01064	RHEA:24467
UPA:UCR01066	KEGG:R01066
UPA:UCR01066	METACYC:DEOXYRIBOSE-P-ALD-RXN
