id	name
HGNC:15532	JAM3
HGNC:15533	SPRY4
HGNC:15559	CHCHD10
HGNC:15561	IL36RN
HGNC:15573	SETBP1
HGNC:15574	RB1CC1
HGNC:15597	HPS3
HGNC:15598	HAMP
HGNC:15625	NBAS
HGNC:15626	FCGR2C
HGNC:15646	KLHL7
HGNC:15672	ALG9
HGNC:15685	B4GAT1
HGNC:15710	LDB3
HGNC:15714	LRPPRC
HGNC:15718	APCDD1
HGNC:1573	KRIT1
HGNC:15761	OSBPL2
HGNC:15766	ADNP
HGNC:15804	OVOL2
HGNC:15807	ZNF335
HGNC:15808	GZF1
HGNC:1582	CCND1
HGNC:1583	CCND2
HGNC:15832	BSCL2
HGNC:15836	PROKR2
HGNC:15840	KMT2B
HGNC:15844	HPS4
HGNC:15853	ARFGEF2
HGNC:15860	PRPF6
HGNC:15864	RBCK1
HGNC:15865	KIZ
HGNC:15868	ABHD12
HGNC:15888	RTEL1
HGNC:15889	FERMT1
HGNC:15894	PANK2
HGNC:15899	NDUFAF5
HGNC:15901	IFT52
HGNC:15911	NOP56
HGNC:15917	PLCB1
HGNC:15924	SALL4
HGNC:15925	SAMHD1
HGNC:15946	RP1L1
HGNC:15954	TOE1
HGNC:1596	CCNK
HGNC:15964	DAZ2
HGNC:15965	DAZ3
HGNC:15968	GDAP1
HGNC:15971	TSG101
HGNC:15974	TRIM2
HGNC:15977	HES7
HGNC:15979	TP63
HGNC:15984	APTX
HGNC:15993	CHST8
HGNC:15999	SELENON
HGNC:160	ACTL6B
HGNC:16001	SUGCT
HGNC:16002	MPLKIP
HGNC:16035	STRC
HGNC:1606	CCR5
HGNC:16068	PCNT
HGNC:16075	RAB33B
HGNC:16084	LIMS2
HGNC:16088	SFXN4
HGNC:16133	TBC1D20
HGNC:16135	FITM2
HGNC:16171	CHMP4B
HGNC:16175	RSPO4
HGNC:1618	CCT5
HGNC:16187	SLC52A3
HGNC:16192	SLC17A9
HGNC:16205	MGME1
HGNC:16232	COX4I2
HGNC:16243	MYLK2
HGNC:16252	SUN5
HGNC:16255	TGM6
HGNC:16257	TUBB1
HGNC:16262	YAP1
HGNC:16266	SLC19A3
HGNC:16268	PNPLA6
HGNC:16280	TRIM36
HGNC:16287	NFU1
HGNC:16290	TRIM33
HGNC:16297	UPB1
HGNC:163	ACTN1
HGNC:1630	CD151
HGNC:1632	CD164
HGNC:1633	CD19
HGNC:16353	MAGED2
HGNC:16356	USH1G
HGNC:16361	WHRN
HGNC:16369	PARK7
HGNC:16378	OTOA
HGNC:16380	TRIM32
HGNC:16391	CARD9
HGNC:16393	CARD11
HGNC:164	ACTN2
HGNC:16400	NLRP3
HGNC:16404	IL17F
HGNC:16406	EFHC1
HGNC:1641	CD209
HGNC:16412	NLRC4
HGNC:16429	LIAS
HGNC:16438	SLC4A11
HGNC:16446	CARD14
HGNC:16466	SUFU
HGNC:16472	SLC45A2
HGNC:16473	NME8
HGNC:16499	RAB39B
HGNC:16501	PDLIM4
HGNC:16510	FBXO31
HGNC:16512	BSND
HGNC:16513	TMC1
HGNC:16517	TMPRSS6
HGNC:166	ACTN4
HGNC:16627	CHEK2
HGNC:16628	SLC49A4
HGNC:1663	CD36
HGNC:16636	KIF1B
HGNC:16644	IFITM5
HGNC:1665	SCARB2
HGNC:16650	MRPL44
HGNC:16691	TUBGCP4
HGNC:16692	CD320
HGNC:16695	BCAP31
HGNC:16700	ZFPM2
HGNC:16725	DNAAF11
HGNC:1673	CD3D
HGNC:16732	MCEE
HGNC:1674	CD3E
HGNC:1675	CD3G
HGNC:16762	ZNF423
HGNC:1677	CD247
HGNC:1678	CD4
HGNC:16783	CDC73
HGNC:16791	TSEN15
HGNC:16808	UBR1
HGNC:16812	COQ8A
HGNC:16817	ESS2
HGNC:16841	LITAF
HGNC:16873	FIG4
HGNC:16876	ARNT2
HGNC:16877	MFN2
HGNC:16882	HCN4
HGNC:1689	CD59
HGNC:16892	CD96
HGNC:16901	SPEG
HGNC:16902	BCKDK
HGNC:16905	KLHL41
HGNC:16912	EMG1
HGNC:16915	HAX1
HGNC:16918	SYNCRIP
HGNC:16940	DGAT2
HGNC:16947	ERLIN1
HGNC:16950	STAMBP
HGNC:16966	ZMYND11
HGNC:16973	PPP1R17
HGNC:16974	SRCAP
HGNC:1698	CD79A
HGNC:16980	CFHR3
HGNC:1699	CD79B
HGNC:16993	SEC61B
HGNC:16997	MLLT11
HGNC:16999	CLP1
HGNC:17009	TRIOBP
HGNC:1701	CD81
HGNC:17019	PRICKLE1
HGNC:17020	IRAK3
HGNC:17022	HPS5
HGNC:17023	RNF139
HGNC:17024	PHF11
HGNC:17035	EXOSC8
HGNC:17042	PUF60
HGNC:17043	NIPA1
HGNC:17057	CARD8
HGNC:1706	CD8A
HGNC:17063	RAB3GAP1
HGNC:17068	PALLD
HGNC:17073	ARHGAP26
HGNC:17075	TAB2
HGNC:17082	MLC1
HGNC:17084	SYNE2
HGNC:17089	SYNE1
HGNC:17091	NCSTN
HGNC:17095	LARS2
HGNC:17098	DICER1
HGNC:171	ACVR1
HGNC:17104	CDON
HGNC:17109	ADAMTS17
HGNC:17110	ADAMTS18
HGNC:17116	CATSPER1
HGNC:17129	SLC39A4
HGNC:1713	CDAN1
