subject	predicate	object	relation	primary_knowledge_source
NCBITaxon:309801	biolink:occurs_in	mediadive.medium:592	BAO:0002924	bacdive:16905
NCBITaxon:478744	biolink:occurs_in	mediadive.medium:514c	BAO:0002924	bacdive:14049
NCBITaxon:1443112	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:13793
NCBITaxon:83456	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9896
NCBITaxon:83456	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9857
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9047
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:8934
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:8739
NCBITaxon:645887	biolink:occurs_in	mediadive.medium:545	BAO:0002924	bacdive:5453
NCBITaxon:47917	biolink:occurs_in	mediadive.medium:220	BAO:0002924	bacdive:5134
NCBITaxon:562	biolink:occurs_in	mediadive.medium:381	BAO:0002924	bacdive:4878
NCBITaxon:2291	biolink:occurs_in	mediadive.medium:195	BAO:0002924	bacdive:3955
NCBITaxon:153151	biolink:occurs_in	mediadive.medium:1117	BAO:0002924	bacdive:1455
NCBITaxon:1428	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:1041
NCBITaxon:2754899	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:160753
NCBITaxon:121616	biolink:occurs_in	mediadive.medium:554	BAO:0002924	bacdive:160417
NCBITaxon:2527964	biolink:occurs_in	mediadive.medium:1560	BAO:0002924	bacdive:160299
NCBITaxon:28035	biolink:occurs_in	mediadive.medium:220	BAO:0002924	bacdive:157879
NCBITaxon:1486034	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:131559
NCBITaxon:338645	biolink:occurs_in	mediadive.medium:1599	BAO:0002924	bacdive:131123
NCBITaxon:1871086	biolink:occurs_in	mediadive.medium:381	BAO:0002924	bacdive:131119
NCBITaxon:33069	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:24401
NCBITaxon:1280	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:23294
NCBITaxon:58118	biolink:occurs_in	mediadive.medium:425	BAO:0002924	bacdive:16523
NCBITaxon:1907	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:15223
NCBITaxon:1892	biolink:occurs_in	mediadive.medium:425	BAO:0002924	bacdive:15000
NCBITaxon:35804	biolink:occurs_in	mediadive.medium:351	BAO:0002924	bacdive:13739
NCBITaxon:1081097	biolink:occurs_in	mediadive.medium:535	BAO:0002924	bacdive:11051
NCBITaxon:37919	biolink:occurs_in	mediadive.medium:535	BAO:0002924	bacdive:11015
NCBITaxon:1833	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:10865
NCBITaxon:28090	biolink:occurs_in	mediadive.medium:220	BAO:0002924	bacdive:8064
NCBITaxon:2200	biolink:occurs_in	mediadive.medium:1523	BAO:0002924	bacdive:7024
NCBITaxon:595502	biolink:occurs_in	mediadive.medium:514b	BAO:0002924	bacdive:6085
NCBITaxon:327575	biolink:occurs_in	mediadive.medium:693	BAO:0002924	bacdive:5495
NCBITaxon:562	biolink:occurs_in	mediadive.medium:381	BAO:0002924	bacdive:4817
NCBITaxon:859321	biolink:occurs_in	mediadive.medium:198	BAO:0002924	bacdive:3993
NCBITaxon:83449	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:3353
NCBITaxon:78258	biolink:occurs_in	mediadive.medium:58	BAO:0002924	bacdive:1762
NCBITaxon:995062	biolink:occurs_in	mediadive.medium:1504	BAO:0002924	bacdive:160699
NCBITaxon:1352	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:160033
NCBITaxon:2100528	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:159508
NCBITaxon:1918614	biolink:occurs_in	mediadive.medium:339	BAO:0002924	bacdive:158461
NCBITaxon:1062	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:132818
NCBITaxon:376	biolink:occurs_in	mediadive.medium:1070	BAO:0002924	bacdive:130220
NCBITaxon:864828	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:24262
NCBITaxon:450365	biolink:occurs_in	mediadive.medium:830a	BAO:0002924	bacdive:17927
NCBITaxon:281091	biolink:occurs_in	mediadive.medium:1143	BAO:0002924	bacdive:17441
NCBITaxon:67372	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:16064
NCBITaxon:38314	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:15429
NCBITaxon:35619	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:15263
NCBITaxon:394732	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:14283
NCBITaxon:252302	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:13685
NCBITaxon:1912891	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:12934
NCBITaxon:56	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:12086
NCBITaxon:143495	biolink:occurs_in	mediadive.medium:453	BAO:0002924	bacdive:11394
NCBITaxon:1831	biolink:occurs_in	mediadive.medium:535	BAO:0002924	bacdive:10982
NCBITaxon:83456	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9905
NCBITaxon:83451	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:3395
NCBITaxon:218139	biolink:occurs_in	mediadive.medium:58	BAO:0002924	bacdive:1766
NCBITaxon:59823	biolink:occurs_in	mediadive.medium:1203a	BAO:0002924	bacdive:160558
NCBITaxon:1883105	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:159414
NCBITaxon:2010198	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:158310
