CHEBI:132055	CAS-RN:188490-07-5
CHEBI:132056	CAS-RN:188489-07-8
CHEBI:132082	CAS-RN:209783-80-2
CHEBI:132089	CAS-RN:819-83-0
CHEBI:132094	CAS-RN:2836-32-0
CHEBI:132096	CAS-RN:50402-70-5
CHEBI:132098	CAS-RN:625-45-6
CHEBI:132100	CAS-RN:1984-06-1
CHEBI:132101	CAS-RN:154-85-8
CHEBI:132103	CAS-RN:7601-89-0
CHEBI:132106	CAS-RN:137-40-6
CHEBI:132107	CAS-RN:10361-89-4
CHEBI:132108	CAS-RN:13517-24-3
CHEBI:132109	CAS-RN:822-16-2
CHEBI:132112	CAS-RN:7772-98-7
CHEBI:132121	CAS-RN:848667-56-1
CHEBI:132133	CAS-RN:59862-05-4
CHEBI:132150	CAS-RN:11088-09-8
CHEBI:132152	CAS-RN:111514-63-7
CHEBI:132171	CAS-RN:5627-00-9
CHEBI:132173	CAS-RN:115797-12-1
CHEBI:132180	CAS-RN:84087-48-9
CHEBI:132182	CAS-RN:563-16-6
CHEBI:132186	CAS-RN:53938-05-9
CHEBI:132187	CAS-RN:139-87-7
CHEBI:132188	CAS-RN:820-10-0
CHEBI:132194	CAS-RN:4896-77-9
CHEBI:132197	CAS-RN:102636-37-3
CHEBI:1322	CAS-RN:38390-45-3
CHEBI:132221	CAS-RN:504-33-6
CHEBI:132223	CAS-RN:14857-77-3
CHEBI:132225	CAS-RN:56892-03-6
CHEBI:132230	CAS-RN:115550-35-1
CHEBI:132231	CAS-RN:62108-25-2
CHEBI:132232	CAS-RN:688-57-3
CHEBI:132237	CAS-RN:82801-81-8
CHEBI:132238	CAS-RN:16448-54-7
CHEBI:132240	CAS-RN:5657-17-0
CHEBI:132244	CAS-RN:29953-71-7
CHEBI:132246	CAS-RN:79-80-1
CHEBI:132268	CAS-RN:1110813-31-4
CHEBI:132270	CAS-RN:221667-31-8
CHEBI:132273	CAS-RN:335104-84-2
CHEBI:132281	CAS-RN:26730-12-1
CHEBI:132282	CAS-RN:3081-07-0
CHEBI:132283	CAS-RN:31295-56-4
CHEBI:132284	CAS-RN:1120-48-5
CHEBI:132288	CAS-RN:54105-67-8
CHEBI:132291	CAS-RN:623-98-3
CHEBI:132293	CAS-RN:52845-08-6
CHEBI:132295	CAS-RN:541-01-5
CHEBI:132298	CAS-RN:50-79-3
